事件名称,模式,选项,版本
垃圾交响曲,人间喜剧千面英雄,"我绝不会背叛人类。
我才是垃圾桶之王！
进入一场对阵垃圾桶的战斗，胜利后获得2个1-3星奇物。
进入挑战冉比希三世的战斗，胜利后获得3个可损毁奇物。",2.5
垂钓仪式,人间喜剧千面英雄,"我想获得财富。
我想获得恩赐。
我想触及未知。
我想触及智慧。
放弃垂钓。
选择①全体失去99%当前生命值、所有能量和秘技点，或②获得1个随机负面奇物，或③失去1个随机祝福，获得400宇宙碎片。
选择①全体失去99%当前生命值、所有能量和秘技点，或②获得1个随机负面奇物，或③失去100宇宙碎片，获得3个随机祝福。
选择①全体失去99%当前生命值、所有能量和秘技点，或②失去100宇宙碎片，或③失去1个随机祝福，获得3个随机奇物。
选择①全体失去99%当前生命值、所有能量和秘技点，或②获得1个随机负面奇物，或③失去100宇宙碎片，获得1个2星方程。
选择离开。",2.5
像你这样的苍猿,人间喜剧千面英雄,"安全而和缓地抚摸。有概率获得150宇宙碎片；有概率获得2个奇物。
要敢于承担风险！有概率获得2个随机奇物；有概率获得2个随机奇物、2个随机祝福和200宇宙碎片；有概率全队损失 30% 当前生命。
我有一个危险的想法！有概率获得2个随机奇物、2个随机祝福和200宇宙碎片；有概率进入一场艰难的战斗，胜利后选择2个随机奇物、2个随机祝福，获得200宇宙碎片。
有概率获得150宇宙碎片；有概率获得2个奇物。
有概率获得2个随机奇物；有概率获得2个随机奇物、2个随机祝福和200宇宙碎片；有概率全队损失 30% 当前生命。
有概率获得2个随机奇物、2个随机祝福和200宇宙碎片；有概率进入一场艰难的战斗，胜利后选择2个随机奇物、2个随机祝福，获得200宇宙碎片。",2.5
金属生活,人间喜剧千面英雄,"我全买了！
制止他的帝国崇拜行为。
在最后找借口离开这里。
提前选择试吃后离开。或者带走试吃品。
失去100宇宙碎片，获得2个方程所需祝福。
进入战斗，胜利后随机获得2个方程所需祝福。
获得50宇宙碎片。
获得150宇宙碎片。",2.5
一抹色彩,人间喜剧千面英雄,,2.5
阮•梅（其三）,人间喜剧千面英雄,"一个突破想象力的惊喜。
给螺丝咕姆的课题加点料。
增加实验样本。
获得1个3星方程；获得已有方程所需的随机祝福直到所有方程展开。
获得1个3星方程，随后获得该方程所需的随机祝福直到其展开。
获得已有方程所需的随机祝福直到所有方程展开。",2.3
归来的岁阳,不可知域人间喜剧千面英雄,"输了可别哭鼻子。
与浮烟进行战斗，胜利后获得2个2星祝福和300宇宙碎片。",2.3
帝国遗产,人间喜剧千面英雄,"触摸帝国的遗产。
拥抱帝国的遗产。
接受帝国的遗产。
归还帝国的遗产。
有极低的概率得到遗产的回应：获得300宇宙碎片；获得3个随机祝福；获得3个随机奇物。
获得1个随机鲁珀特帝国系列奇物。
花费300宇宙碎片，获得2个随机鲁珀特帝国系列奇物。
失去奇物：鲁珀特帝国差分机；获得2400宇宙碎片；24个随机祝福；24个随机奇物。",2.3
和谐比赛,人间喜剧千面英雄,"掏出球棒。
进入一场2轮的计分战斗，胜利后获得和得分相同的宇宙碎片。",2.3
厨王争霸,不可知域人间喜剧千面英雄,"一起上吧，我赶时间。和攻擂者们战斗，胜利后获得2个1星奇物和100宇宙碎片。
往对手的桶里丢垃圾。和攻擂者们战斗，胜利后舍弃最多3个负面奇物。
跨级挑战评委。和垃圾评委团战斗，胜利后获得5个损毁的随机奇物。
和攻擂者们战斗，胜利后获得2个1星奇物和100宇宙碎片。
和攻擂者们战斗，胜利后舍弃最多3个负面奇物。
和垃圾评委团战斗，胜利后获得5个损毁的随机奇物。",2.3
危险投喂,人间喜剧千面英雄,"还是谨慎为好。
多吃点，别饿着了。
随便吃！全都给你！
舍弃最多1个负面奇物。进入战斗，胜利后获得2个祝福。
舍弃最多2个负面奇物。进入战斗，胜利后获得1个3星祝福和1个随机奇物。
舍弃全部负面奇物。进入战斗，胜利后获得1个强化过的3星祝福和3个随机奇物。",2.3
占卜,不可知域人间喜剧千面英雄,"最近能发财吗？
最近有危险吗？
旅程会顺利吗？
获得的奇物效果会和宇宙碎片有关。
获得的奇物效果会和战斗有关。
获得的奇物效果会和祝福有关。",最近能发财吗？
三进制战争,人间喜剧千面英雄,"修复同化单元。
进入战斗，2轮内修复15台三进制同化单元可获得3个相同命途的随机祝福。",2.3
星际和平投资机器,黄金与机械不可知域人间喜剧千面英雄,"投资你的信任
不拿。
三次分别需要花费100/50%/100%宇宙碎片，分别有0%/50%/75%概率失败。
你擅长克制。",1.6
星际和平机械分部商城（其一）,黄金与机械人间喜剧,"升级你的认知。仅在黄金与机械中满足 -30 ≤ 认知 ≤ 0 时出现。
香涎干酪。
测不准匣。
异木果实。
获得奇物：香涎干酪；获得奇物：测不准匣；获得奇物：异木果实。
获得奇物：香涎干酪。
获得奇物：测不准匣。
获得奇物：异木果实。",1.6
星际和平机械分部商城（其二）,黄金与机械人间喜剧,"升级你的认知。
升级香涎干酪。
升级测不准匣。
升级异木果实。
升级香涎干酪、测不准匣和异木果实。
失去奇物：香涎干酪，获得奇物：海绵王。
失去奇物：测不准匣，获得奇物：猜不透匣。
失去奇物：异木果实，获得奇物：腐化异木果实。",1.6
机械城「认知理发馆」- 博识学会,黄金与机械,"调整「自我认知」 - 我选择『善』。
调整「自我认知」 - 我是无机。
赞成No.5博士。
赞成真理医生。
自我认知提升20。
自我认知降低20。
获得1次作弊机会。
获得1点倒计时。",1.6
机械城「认知理发馆」- 机械咕母,黄金与机械,"调整「自我认知」 - 了解提升『智力』的法则
调整「自我认知」 - 了解提升『魅力』的法则
选择1件机器画裤衩。
选择1件机器衬衫。
自我认知提升20。
自我认知降低20。
获得3次重投机会。
修理1个损毁的奇物。",1.6
机械城「认知理发馆」- 天才俱乐部,黄金与机械,"调整「自我认知」 - 我是有机。
调整「自我认知」 - 我是无机。
挑取一个亲情元件。
挑取一个友情元件。
自我认知提升40。
自我认知降低40。
获得1个祝福，获得1个奇物，获得50宇宙碎片。
复活全部无法战斗的角色并回复100%生命值。",1.6
作弊代码（其一）,黄金与机械不可知域人间喜剧千面英雄,"拿200块钱。
获得两个随机奇物。
钱和奇物全要了。
你不需要。
没有风险
有点风险。
老赌徒出现了。
这种游戏不可开启。",1.6
作弊代码（其二）,黄金与机械不可知域人间喜剧千面英雄,"被迫战斗。
你没得选择！",1.6
奇物黑客,黄金与机械人间喜剧,"接受奇物：「有机心脏」。
接受奇物：「神秘」磁力。
离开。
获得奇物：「有机心脏」。
获得奇物：「神秘」磁力。
你拒绝了。",1.6
火漆制造机,黄金与机械人间喜剧,"火漆熔铸。
火漆祝福。
火漆强化。
舍弃1个火漆系列奇物，立刻获得3个该火漆所属命途的祝福。
每有1种火漆系列奇物，获得1个该火漆所属命途的祝福。
每有1种火漆系列奇物，强化2个该火漆所属命途的祝福。",1.6
奇物修理专家,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"修理一个损毁的奇物。
修理全部损毁的奇物。
离开。
花费50宇宙碎片，修理1个损毁的奇物。
花费50宇宙碎片，修理全部损毁的奇物。
你不需要。",1.3
*完美*大挑战！,模拟宇宙寰宇蝗灾黄金与机械人间喜剧不可知域千面英雄,"完美型男需要「黏土玩偶」。
完美型男需要「潮流扭蛋人」。
走开。
有50%概率获得随机正面奇物，50%概率获得负面奇物。
有40%概率获得随机正面奇物，60%概率一无所获。
小心有诈！",1.3
阮•梅（其二）,寰宇蝗灾模拟宇宙黄金与机械不可知域人间喜剧千面英雄,"信仰星神。
偷拿点黑塔的好东西。
更多与斯蒂芬作对的作弊机会。
强化全部祝福。
获得10个随机奇物。
获得10次作弊机会。",1.3
寰宇舞者的启示,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"抽签。
拒绝邀请。
花费50宇宙碎片；当前有30%/65%/100%概率可以抽到命运的启示。
一旦开始就很难再停。",1.3
超验之镜（其一）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"默念你想要的。
许愿让她从镜子里出来。
离去。
获得随机奖励。
进入战斗，获得胜利后获得两个三星祝福。
你一无所获。",1.3
超验之镜（其二）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"点燃烛火。
离去。
由于在其一中你已将揽镜人杀死，所以她并不会出现。你一无所获。
你一无所获。",1.3
超验之镜（其三）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"离去。
你一无所获。",1.3
双乐透体验,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"我要为「奥施瓦尔多·施耐德」的竞选投票！
我要得到「双乐透」体验！
拒绝。
花费100宇宙碎片，购买1张大乐透系列彩券；附赠修理已损毁的任意乐透。
花费50宇宙碎片，修理所有已损毁的乐透。
你不能通过这个来获取快乐！",1.3
星际和平公司「升职记」（其一）,寰宇蝗灾人间喜剧,"把下班时间献给琥珀王。
精准地寻找目标销售星系。
敷衍地售卖「星际和平杂货」。
悄悄偷懒。
200宇宙碎片。
获得2次重投机会与1次作弊机会。
获得80宇宙碎片。
获得2次重投机会。",1.3
星际和平公司「升职记」（其二）,寰宇蝗灾人间喜剧,"关心临时雇佣工的身心健康。
把下周约满*跨物种联谊派对*！
召开「宇宙金融会议」。
沉淀「专家技能培训」。
获得250宇宙碎片；全部角色回复等同于各自生命上限100%的生命。
获得4个一星祝福。
获得110宇宙碎片。
获得2个随机一星祝福。",1.3
星际和平公司「升职记」（其三）,寰宇蝗灾人间喜剧,"回顾星际成功秘传…
你渴望打败大人物！
展开「名流高级社交」。
发表震撼人心的「星际演讲」。
强化4个随机祝福。
进入特殊战斗，胜利后获得1个三星祝福。
进入战斗，胜利后获得一个2星祝福。
强化2个随机祝福。",1.3
星际和平公司「升职记」（其四）,寰宇蝗灾人间喜剧,"你望着四周空荡荡的一片。
…直接挑衅「P-48」塔拉梵•基恩！
…直接挑衅「P-48」疤眼夫人！
失去所有宇宙碎片，强化所有祝福。
失去50宇宙碎片，强化3个随机祝福。
获得100宇宙碎片，并获得奇物：天使型谢债发行机。",1.3
咔嚓——星际和平银行！（其一）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"存入100宇宙碎片。
存入150宇宙碎片。
存入200宇宙碎片。
走开。
下次遇到时可取出200宇宙碎片。
获得1个1星奇物；下次遇到时可取出400宇宙碎片。
下次遇到时可取出600宇宙碎片。
获得1个2星奇物；下次遇到时可取出600宇宙碎片。
你还是喜欢把宇宙碎片藏在枕头下。",1.3
咔嚓——星际和平银行！（其二）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"取出200/400/600宇宙碎片。
走开。
你将取出封存的宇宙碎片与利息。
无事发生。",1.3
虫潮•虫巢探险（一级卫戍）,寰宇蝗灾,"进入杀死它们。
悄悄离开。
进入战斗，并获得1-2星「繁育」祝福。（虫群警戒值会有大幅提升）
希望它们没有发现你。（虫群警戒值会有小幅提升)",1.3
虫潮•虫巢探险（二级卫戍）,寰宇蝗灾,"进入杀死它们。
悄悄离开。
进入战斗，并获得2-3星「繁育」祝福。（虫群警戒值会有大幅提升）
50% 概率获得1个随机奇物。（虫群警戒值会有大幅提升）",1.3
虫潮•虫巢探险（三级卫戍）,寰宇蝗灾,"进入杀死它们。
慌忙逃走。
舍弃1个祝福，并进行一场战斗。
舍弃1个随机祝福。",1.3
虫潮•沉睡领主（一级卫戍）,寰宇蝗灾不可知域人间喜剧,"绕路。
窃取「孢子」。
嘘…保持绝对寂静。（虫群警戒值会有小幅提升）
获得1个2星「繁育」祝福。（虫群警戒值会有大幅提升）",1.3
虫潮•沉睡领主（二级卫戍）,寰宇蝗灾不可知域人间喜剧,"离开。
解救「无名客」。
有较低概率可以安全的离开。（有较高的概率会使虫群警戒值大幅提升）
有较低概率获得随机奇物；有较高概率消耗我方全体生命值至其生命上限的20%。（虫群警戒值会有大幅提升）",1.3
虫潮•沉睡领主（三级卫戍）,寰宇蝗灾不可知域人间喜剧,"立刻后退。
清理他们。
消耗我方全体生命值至其生命上限的20% 。
进入战斗。",1.3
虫潮•区域脑体（一级卫戍）,寰宇蝗灾,"邀请「设备助理」远程布局。
解决周围的虫群。
花费50宇宙碎片。（虫群警戒值会有小幅提升）
进入战斗,并获得2-3星「繁育」祝福。(虫群警戒值会有大幅提升)",1.3
虫潮•区域脑体（二级卫戍）,寰宇蝗灾,"喝下「混沌医师」的药。
正面突入！
花费100宇宙碎片，50% 概率获得 1 个 2-3 星繁育祝福，50% 概率全队失去 70% 当前生命。（虫群警戒值会有大幅提升）
进入战斗，并获得1-2星「繁育」祝福。（虫群警戒值会有大幅提升）",1.3
虫潮•区域脑体（三级卫戍）,寰宇蝗灾,"这是一场孤注一掷的行动。
只有非常低的概率成功，你知道失败的代价很高。",1.3
繁育•虫巢探险（一级卫戍）,寰宇蝗灾,"进入探取无名客遗物。
加入「鏖兜虫」作战单位。
获得150宇宙碎片。
全队损失50%当前生命值。",1.3
繁育•虫巢探险（二级卫戍）,寰宇蝗灾,"进入探取无名客遗物。
加入「鏖兜虫」作战单位。
获得150宇宙碎片，获得一个随机奇物。
进入战斗，并获得200宇宙碎片。",1.3
繁育•沉睡领主（一级卫戍）,寰宇蝗灾,"「吸取」它的力量。
「给予」它力量。
获得2个1-2星祝福。
全部角色各自损失30%当前生命值，并强化1个随机祝福。后续遇到相同事件提升为二级卫戍。",1.3
繁育•沉睡领主（二级卫戍）,寰宇蝗灾,"「吸取」它的力量。
「给予」它力量。
获得2个1-2星祝福。后续遇到相同事件降低为一级卫戍。
全部角色各自损失80%当前生命值，并强化2个随机祝福。后续遇到相同事件提升为三级卫戍。",1.3
繁育•沉睡领主（三级卫戍）,寰宇蝗灾,"「吸取」它的力量。
「吸取」它力量。
获得1个3星祝福。后续遇到相同事件降低为一级卫戍。
获得2个随机3星祝福。后续遇到相同事件降低为一级卫戍。",1.3
纯美骑士的帮助,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"接受纯美骑士「斯狄洛特」的帮助。
接受纯美骑士「憎」的帮助。
接受纯美骑士「银枝」的帮助。
接受纯美骑士「维尔•迦娜」的帮助。
接受纯美骑士「波美茵」的帮助。
接受纯美骑士「阿诺克雷」的帮助。
接受纯美骑士「全视」的帮助。
接受纯美骑士「加莱哈德•伊坎」的帮助。
强化2个随机3星的祝福。在你拥有2个以上未强化的3星祝福时出现。
获得1个回响构音。在你未获得最后一个回响构音时出现。
获得3个随机「当前命途」的祝福 / 2个2-3星「当前命途」的祝福。在你未获得全部「当前命途」的祝福并且「当前命途」的祝福在6个以下 / 以上时出现。
失去4个随机1星祝福，获得4个随机1-3星「当前命途」的祝福。在你未获得全部「当前命途」的祝福并且拥有4个以上的1星祝福时出现。
获得三个随机奇物 / 舍弃所有奇物，每舍弃1个奇物获得50宇宙碎片。在你拥有0个 / 10个以上的奇物时出现。
舍弃一个咕咕钟系列负面奇物。在你拥有咕咕钟系列负面奇物时出现。
获得1个3星「当前命途」的祝福。在你未获得任何「当前命途」的三星祝福时出现。
获得奇物：龋齿星系模型。 / 获得400宇宙碎片。在你拥有500以上宇宙碎片 / 100以下宇宙碎片时出现。",1.3
孤独，太空美虫，模拟宇宙（其一）,模拟宇宙寰宇蝗灾不可知域人间喜剧千面英雄,"喂食厄勒特希亚星系「海盐点心」。
使用洗车星埠口特产「清洁泡沫」。
喂食漩涡星聚落「特饮奶茶」。
舍弃1个奇物；有概率获得3个随机奇物。
舍弃1个祝福；有概率获得4个随机祝福。
舍弃100宇宙碎片；有概率获得400宇宙碎片。",1.3
孤独，太空美虫，模拟宇宙（其二）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"接受「爱心小礼物」。
接受「生命的回馈」。
拒绝。
获得4个随机奇物。
获得2个3星祝福。
你只是想要继续付出…你一点也不奢求回报。",1.3
咕咕钟狂热粉丝（其一）,模拟宇宙寰宇蝗灾不可知域人间喜剧千面英雄,"接受一只咕咕钟。
拒绝。
模拟宇宙：获得1个随机咕咕钟系列负面奇物。
差分宇宙：获得1个随机咕咕钟系列负面奇物；获得3个方程所需命途的祝福。
被硬塞两个咕咕钟系列负面奇物。",1.3
咕咕钟狂热粉丝（其二）,模拟宇宙寰宇蝗灾不可知域人间喜剧千面英雄,"再接受一只咕咕钟。
你把咕咕钟还给他。
获得1个随机咕咕钟系列负面奇物；获得2个方程所需命途的祝福。
舍弃所有的咕咕钟。",1.3
咕咕钟狂热粉丝（其三）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"再接受一只咕咕钟
把你收集的咕咕钟和他交换。
把你收集的咕咕钟和他交换。
获得1个随机咕咕钟系列负面奇物；获得4个方程所需命途的祝福。
将所有咕咕钟给予对方；换取相同数量祝福。
将所有咕咕钟给予对方；换取相同数量奇物。",1.3
兽群•贪饕灾厄,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"帮助幼兽「解脱」。
解决成年巨兽的「痛苦」。
进入战斗，胜利后获得2个1-2星祝福和1个奇物。
进入战斗，胜利后获得1个3星祝福和3个随机奇物。",1.3
像素世界•隐藏关,寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"选择四号：它装饰着小蝴蝶结！
选择三号：它的牙齿生锈了…
选择二号：它打了个安达吐尔•扎罗式呼噜。
强化两个随机2-3星祝福。
获得3个随机1星祝福。
获得1次作弊机会。",1.3
天才俱乐部#55余清涂,模拟宇宙寰宇蝗灾黄金与机械人间喜剧千面英雄,"一饮而尽…
一杯酒应该学会自己搅拌自己。
你决定加更多奇怪的东西进去。
加入糖。
加入牙膏。
同时获得两个奇物。
70% 概率同时获得两个奇物，30% 概率全队损失 80% 当前生命值。
各 50% 概率获得二奇物之一。
大概率获得奇物：粉红冲撞，具体见表格。
大概率获得奇物：塔拉毒火焰，具体见表格。",1.3
掏垃圾桶大师,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"把你的废物丢进去！
离开。
模拟宇宙：舍弃1个奇物，获得2个随机奇物。
差分宇宙：舍弃1个奇物，获得3个随机奇物。
你对垃圾桶不感兴趣。",1.3
天外大合唱,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,,1.3
伶人戏法,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"选择左边的杯子。
选择右边的杯子。
舍弃2个随机2星祝福，获得4个随机2星祝福。
舍弃1个随机3星祝福，获得3个随机3星祝福。",1.3
阿哈玩偶,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"拧一下玩偶屁股上的开关！
把它拆了。
其它选项不影响结果。
50% 概率获得 500 宇宙碎片，50% 失去一半宇宙碎片。
获得 300 宇宙碎片。
42% 概率获得 150 宇宙碎片（差分宇宙中加 2 个随机一星祝福）36% 概率一无所获22% 概率获得 400 宇宙碎片（差分宇宙中加 3 个随机一星祝福）。",1.0
阮•梅,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"信仰星神。
想要很多钱。
获得全部「命途1」的祝福。
获得2000宇宙碎片。",1.0
银河商人（其一）,模拟宇宙寰宇蝗灾不可知域人间喜剧,"购买金属许愿瓶。
购买银矿许愿瓶。
走开。
消耗100宇宙碎片，获得2个随机1星祝福。
消耗100宇宙碎片，获得3个随机奇物（可能含负面奇物）。
你不感兴趣。",1.0
银河忽悠（其二）,模拟宇宙寰宇蝗灾不可知域人间喜剧,"购买琥珀许愿匣。
购买超钛许愿匣。
走开。
消耗100宇宙碎片，获得1个负面奇物。
消耗100宇宙碎片，获得1个1–2星祝福。
再也不会相信忽悠。",1.0
银河好人（其三）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"购买一个钻石盒。
购买一个原矿盒。
走开。
消耗10宇宙碎片，随机强化3个祝福。
消耗10宇宙碎片，获得1个3星祝福。
你不需要。",1.0
酒馆,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"挑战弗朗斯先生的安保团队。
挑战亚威拉壮汉的佣兵集团。
两个一起打！
揭穿他破产的事实，挑战成功获得1个「命途2」的祝福。
撕下他的面具，挑战成功获得1个「命途3」的祝福。
进入战斗，获得全部奖励。",1.0
周期性大魔王,模拟宇宙寰宇蝗灾黄金与机械人间喜剧千面英雄,"过载周期性魔王的生命方程，争取活下去！
抓紧时间，删除周期性魔王的生命方程。
加入挑战，坚持4轮没有角色陷入无法战斗状态，获得额外祝福奖励。
加入挑战，在4个轮内取得战斗胜利。",1.0
我们是牛仔,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"让他们见识见识真正的「牛仔」。
进入战斗，胜利后额外抢夺300宇宙碎片。",1.0
猜拳游戏,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"为0.63%的概率而战。
选择100%的安全感。
进入战斗。
失去100宇宙碎片。",1.0
谢债发行机（其一）,模拟宇宙,"拒绝两次获得100宇宙碎片。
否则获得天使型谢债发行机。",1.0
谢债发行机（其二）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,,1.0
虚构史学家（其一）,模拟宇宙,"关于「命途1」星神的记载
关于「命途2」星神的记载
关于「命途3」星神的记载
就此离开
强化3个随机1星「命途1」的祝福。
强化2个随机2星「命途2」的祝福。
强化1个随机3星「命途3」的祝福。
我不需要。",1.0
虚构史学家（其二）,模拟宇宙寰宇蝗灾黄金与机械人间喜剧,"关于命途2星神的记载。
关于命途3星神的记载。
关于命途4星神的记载。
离开。
强化3个随机1星「命途2」的祝福。
强化2个随机2星「命途3」的祝福。
强化1个随机3星「命途4」的祝福。
你不需要。",1.0
萨里奥（其一）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"选择萨里。
选择里奥。
全部角色各自损失20%当前生命值，并获得2个1-2星奇物。
舍弃1个奇物，并获得2个1-2星祝福。",1.0
萨里（其二）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"选择萨里。
让里奥出来吧。
全部角色各自损失20%当前生命值，并获得2个1-2星奇物。
切换至里奥的人格，并获得3个随机1-2星奇物。",1.0
里奥（其三）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"选择里奥。
让萨里出来吧。
舍弃1个奇物，并获得2个1-2星祝福。
切换至萨里的人格，并获得3个随机1-2星祝福。",1.0
像素世界,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"爬进左边的管道。
跳上右边的砖块。
四处乱蹦，探索隐藏砖块！
获得200宇宙碎片。
全部角色各自损失20%当前生命值，并获得2个1星祝福。
有70%的概率获得4个随机1-2星祝福。",1.0
机器人销售终端,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"吞没销售终端的「防护网」。
购买2个随机祝福。
离开
每次成功将获得祝福。失败触发电击，全部角色各自损失99%当前生命值。当前有20%/40%/60%/80%概率失败。
消耗100宇宙碎片。
你没有什么想买的。",1.0
来交换礼物吧,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"方程覆写。
祝福重铸。
离开。
舍弃1个随机2星方程，并获得1个随机3星方程。
舍弃1个1-2星祝福， 并随机获得3个方程所需的祝福。
你不感兴趣。",1.0
许个愿吧,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"让沉睡的士兵「再次醒来」。
解构它的生命逻辑。
换取1个2星祝福。
换取1个3星祝福
获得1个随机2-3星方程。
离开。
模拟宇宙：他们的血液将会让巨树复苏…进入战斗，胜利后获得1个3星祝福。
差分宇宙：他们的血液将会让巨树复苏…进入战斗，胜利后获得2个3星祝福。
全部角色各自损失99%当前生命值，强化3个祝福。
全部角色各自损失20%当前生命值。
全部角色各自损失80%当前生命值。
差分宇宙：全部角色各自损失99%当前生命值。
你不愿浇灌它。",1.0
尼尔迪斯牌（野猪篇）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"翻开牌。
风险管理很重要。
每次成功将获得奇物，失败进入战斗。当前有40%/60%/80%/100%概率失败。
放弃。",1.0
尼尔迪斯牌（机械篇）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"翻开牌。
放弃。
每次成功将获得宇宙碎片，失败进入战斗。当前有25%/50%/75%/100%概率失败。
风险管理很重要。",1.0
尼尔迪斯牌（灯鱼篇）,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"翻开牌。
放弃。
每次成功将获得祝福，失败进入战斗。当前有20%/40%/60%/80%/100%概率失败。
风险管理很重要。",1.0
互动艺术,模拟宇宙寰宇蝗灾黄金与机械人间喜剧,"歌舞片。
动作片。
请放我一条生路。
获得1个2星「欢愉」的祝福。
获得1个2星「巡猎」的祝福。
全部角色回复等同于各自生命上限100%的生命值。",1.0
无尽黑暗,模拟宇宙寰宇蝗灾黄金与机械人间喜剧,"前往黑暗。
对抗引力。
随机获得一个负面奇物。
全部角色各自损失50%当前生命值。",1.0
错误道具,模拟宇宙寰宇蝗灾黄金与机械,"选择一个错误的代码奇物。
离开。
错误代码奇物在修好前会有负面效果。
你选择拒绝。",1.0
游牧矿工,模拟宇宙寰宇蝗灾黄金与机械人间喜剧,"克里珀的恩赐。
克里珀的祝福。
强化2个随机祝福。
获得1个2星「存护」的祝福。",1.0
赏金猎人,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"把身上披的皮毛给他。
转身走开。
舍弃1个奇物，并获得200宇宙碎片。
你没有兴趣。",1.0
雕像,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"丢下雕像！要果断。
对「祂」虔诚信仰，身心无垢。
全部角色各自损失30%当前生命值，并获得1个2星祝福。
全部角色各自损失50%当前生命值，并获得3个1-2星祝福。",1.0
斯蒂芬•劳艾德的点子,模拟宇宙,"给我一些启动资金吧
给我点好东西吧
什么也不做
获得一些宇宙碎片。
获得一个随机祝福。
你不需要。",1.0
自灭者的火种,模拟宇宙寰宇蝗灾黄金与机械人间喜剧千面英雄,"接受「自灭」的火种，摧毁黑匣。
拒绝。
模拟宇宙：获得1个随机负面奇物，并获得1个3星祝福。
差分宇宙：获得2个随机负面奇物；获得2个「命途1」的2-3星祝福。
模拟宇宙：获得100宇宙碎片。
差分宇宙：强化4个随机祝福。",1.0
虫巢,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"止步于巢穴门口。
拥抱它。
等待「祂」。
获得100宇宙碎片。
获得负面奇物：虫网，并获得1个3星祝福。
全部角色各自损失50%当前生命值，并获得1个2星祝福。",1.0
筑城者,模拟宇宙黄金与机械寰宇蝗灾不可知域人间喜剧千面英雄,"感恩克里珀星神。
离开。
获得1个奇物。差分宇宙获得1个2星奇物。
获得150宇宙碎片。",1.0
杰姆•哈克与杰姆•哈尔,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,,1.0
电视购物频道,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧千面英雄,"一盒过期甜甜圈。
会唱生日快乐的莲花。
机械匣子。
离开这里。
全部角色损失40%当前生命值；获得300宇宙碎片。
花费50宇宙碎片；获得3个随机祝福。
花费100宇宙碎片；获得3个1-2星随机奇物。
你不感兴趣。",1.0
焚化工,模拟宇宙寰宇蝗灾黄金与机械人间喜剧,"将一切奉献给「衪」。
承受十克拉的垃圾。
舍弃1个1–2星祝福，并获得1个1–3星祝福。
获得80宇宙碎片。",1.0
社会性梦境,模拟宇宙寰宇蝗灾黄金与机械不可知域人间喜剧,"吞下另一只*鱼眼*，继续享受按摩。
回去上班。
舍弃1个祝福，并获得500宇宙碎片。
获得1个随机负面奇物，并获得300宇宙碎片。
获得100宇宙碎片。",1.0
