名称,模式,TAG,获取方式,效果,版本,星级
猜不透匣,"人间喜剧, 千面英雄",无,特定事件,战斗胜利后获得的祝福，至少有1个与方程所需的命途相同,1.6,2星
海绵王,"人间喜剧, 千面英雄",生命值 /  可损毁,特定事件,每进入一个区域，我方全体损失80%当前生命值，生命上限提高10%，效果触发4次后该奇物损毁，生命上限提高效果在奇物损毁后仍会生效,1.6,2星
腐化异木果实,"人间喜剧, 千面英雄",效果减免,特定事件,角色会抵抗所有使自身陷入控制类负面状态的效果。每次抵抗都会消耗等同于自身20%生命上限的生命值,1.6,2星
「楼梯上的水母」,"人间喜剧, 千面英雄",重投 /  可损毁 /  宇宙碎片,开局获取,失去所有祝福，并按照失去祝福的星级之和获得宇宙碎片，每有1个星级获得150宇宙碎片,1.6,2星
许愿星,"人间喜剧, 千面英雄",无,"一般事件, 商店购买",【冒险】区域的出现概率大幅提高。携带该奇物进入【冒险】区域后，使得该区域的限制时间提高50%，并在进入区域时额外获得一个宝箱，效果触发2次后该奇物损毁,1.6,2星
理性的溃败,"人间喜剧, 千面英雄",祝福获取,无,获得该奇物时，立即获得3个不同命途的随机1星祝福各1个,1.6,2星
阿阮袋,"人间喜剧, 千面英雄",祝福获取,无,立刻获得3个随机祝福，战斗胜利后选择祝福时选项数量变为1，2次战斗后该奇物损毁,1.6,2星
智识火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「智识」的祝福。并在战斗胜利后选择祝福时，提高「智识」的祝福出现的概率,1.6,1星
「有机心脏」,人间喜剧,重投 /  可损毁,特定事件,"在过量转化中，额外获得5,000点挑战分数，我方全体受到的伤害提高15%",1.6,1星
「神秘」磁力,人间喜剧,可损毁,特定事件,每次进入区域时，获得50宇宙碎片。战斗胜利后，失去50宇宙碎片,1.6,1星
和平的代价,"人间喜剧, 千面英雄",宇宙碎片,无,进入【商店】区域时，获得150宇宙碎片,1.6,1星
「无效念头」代码机,"人间喜剧, 千面英雄",能量恢复,无,进入战斗时，角色失去等同于能量上限的能量,1.6,负面奇物
「中等念头」群体机,"人间喜剧, 千面英雄",宇宙碎片,无,商品价格提高25%,1.6,负面奇物
「极佳念头」彩虹机,"人间喜剧, 千面英雄",无,无,携带该奇物进入【冒险】区域后，使得该区域的限制时间降低30%,1.6,负面奇物
「奇思狂想」机器团,"人间喜剧, 千面英雄",无,无,角色施放秘技时，额外消耗1秘技点,1.6,负面奇物
家族缘结,"人间喜剧, 千面英雄",造成伤害 /  损毁奇物,"一般事件, 商店购买",立即获得2个可损毁奇物。每当奇物损毁时，立即获得1个可损毁奇物。每拥有1个已损毁的奇物，我方全体造成的伤害提高30%,1.3,3星
龋齿星系模型,"人间喜剧, 千面英雄",宇宙碎片 /  暴击伤害 /  微妙的奇物,"一般事件, 商店购买",立即失去30%宇宙碎片。每通过任意方式失去100宇宙碎片，进入战斗时我方全体暴击伤害提高15%,1.3,3星
分裂银币,"人间喜剧, 千面英雄",宇宙碎片,"一般事件, 商店购买",立即获得等同于当前持有的宇宙碎片50%的宇宙碎片,1.3,2星
三角滚奏器,千面英雄,祝福获取 /  祝福强化,开局获取,获得该奇物时，覆写最多2个随机方程，然后获得4个方程所需的祝福,1.3,2星
天才俱乐部普通八卦,"人间喜剧, 千面英雄",宇宙碎片 /  祝福获取 /  微妙的奇物,"一般事件, 商店购买, 开局获取",获得该奇物后，获得宇宙碎片时额外获得50%，但战斗结束无法再获取祝福,1.3,2星
愚者面具,"人间喜剧, 千面英雄",祝福获取 /  微妙的奇物,"一般事件, 商店购买",将所有祝福替换为随机祝福，强化情况会被保留，且有概率替换为更高稀有度的祝福,1.3,2星
邪恶机械卫星#900,"人间喜剧, 千面英雄",宇宙碎片,"开局获取, 商店购买",商品价格降低30%,1.3,2星
纯美骑士精神,"人间喜剧, 千面英雄",重投 /  方程获取,"开局获取, 商店购买",获得该奇物后，获得1个随机方程,1.3,2星
虚构机兵,"人间喜剧, 千面英雄",生命回复,"开局获取, 商店购买",角色回合开始时，回复等同于其生命上限20%的生命值,1.3,2星
人造陨石球,"人间喜剧, 千面英雄",祝福获取,"开局获取, 商店购买",获得该奇物时，立即获得1-3个拥有祝福数量最多的命途的祝福,1.3,2星
一撮胡须火药,"人间喜剧, 千面英雄",重投 /  奇物获取,"开局获取, 商店购买",获得该奇物后，获得1个加权奇物,1.3,2星
鲁珀特帝国机械齿轮,"人间喜剧, 千面英雄",宇宙碎片 /  可损毁 /  微妙的奇物,"开局获取, 商店购买",每次进入区域时，获得50宇宙碎片，如果此时宇宙碎片超过750，该奇物损毁，并失去所有宇宙碎片。获得该奇物时，若同时携带全部鲁珀特帝国机械系列奇物，将引发反有机方程的局域共鸣,1.3,1星
繁育火漆,"人间喜剧, 千面英雄",祝福获取,特定事件,获得该奇物时，随机获得1个「繁育」的祝福。并在战斗胜利后选择祝福时，提高「繁育」的祝福出现的概率,1.3,1星
星际大乐透,"人间喜剧, 千面英雄",祝福获取 /  可损毁 /  可破坏物,"开局获取, 商店购买",击碎可破坏物后有小概率获得1个随机祝福，但也有小概率使该奇物损毁并使我方全体损失全部能量与秘技点,1.3,1星
血锦之纪徽章,千面英雄,祝福获取 /  可损毁,"一般事件, 商店购买",进入【事件】区域后，出现3个事件，触发1次后该奇物损毁。损毁后，【事件】区域不再出现事件,1.3,1星
黑洞之阱,人间喜剧,宇宙碎片,"开局获取, 商店购买",战斗胜利时，每有1个我方角色当前生命值等于其生命上限，获得15宇宙碎片,1.3,1星
混沌特效灵药,人间喜剧,造成伤害,"开局获取, 商店购买",角色造成的秘技伤害提高200%，且秘技伤害的伤害值提高，提高数值等同于角色生命上限的200%,1.3,1星
塔拉毒火焰,"人间喜剧, 千面英雄",速度 /  生命值,特定事件,进入战斗时，使当前攻击力最高的我方目标，每回合开始时消耗等同于生命上限24%的生命值。同时使其速度提高5%，速度提高的效果最多叠加5次,1.3,1星
粉红冲撞,"人间喜剧, 千面英雄",击破特攻,特定事件,每拥有1种不同命途的祝福，所有角色击破特攻提高20%,1.3,1星
分裂咕咕钟,"人间喜剧, 千面英雄",攻击力,"开局获取, 特定事件",角色攻击力降低5%，战斗胜利后有概率分裂出1个复制体，复制体最多同时存在3个,1.3,负面奇物
精确优雅的代码,千面英雄,速度 /  防御力 /  攻击力 /  生命值 /  造成伤害,特定事件,进入战斗时，我方目标防御力、攻击力、生命上限提高35%，攻击后对随机攻击目标造成350%攻击力的附加伤害，对4星我方目标效果额外提高原数值的200%,1.0,3星
纯美之袍,"人间喜剧, 千面英雄",宇宙碎片 /  造成伤害,无,进入战斗时，每拥有100宇宙碎片，我方全体造成的伤害提高20%。进入【战斗】、【遭遇】或【首领】区域时，获得等同于当前持有宇宙碎片10%的宇宙碎片,1.0,3星
湮灭烛剪,"人间喜剧, 千面英雄",可破坏物 /  造成伤害,无,每击碎1个可破坏物，进入战斗时，我方全体造成的伤害提高5%，每开启一个战利品，我方全体生命上限提高8%,1.0,3星
存护火漆,人间喜剧,祝福获取,一般事件,获得该奇物时，随机获得1个「存护」的祝福。并在战斗胜利后选择祝福时，提高「存护」的祝福出现的概率,1.0,2星
丰饶火漆,人间喜剧,祝福获取,一般事件,获得该奇物时，随机获得1个「丰饶」的祝福。并在战斗胜利后选择祝福时，提高「丰饶」的祝福出现的概率,1.0,2星
降维骰子,"人间喜剧, 千面英雄",祝福获取 /  可损毁,无,战斗胜利后选择祝福时可以额外选择1次祝福，但可选择的祝福选项会减少1个。累计2次战斗后，该奇物损毁,1.0,2星
闪耀的偏方三八面骰,"人间喜剧, 千面英雄",奇物获取,无,获得该奇物后将当前持有的包含该奇物在内的所有奇物替换为随机奇物,1.0,2星
福灵胶,"人间喜剧, 千面英雄",祝福获取 /  可损毁,无,战斗胜利后选择祝福时，出现的祝福必定是3星的祝福。获得1次战斗胜利后，该奇物损毁,1.0,2星
信仰债券,"人间喜剧, 千面英雄",宇宙碎片,无,覆写祝福、覆写方程以及复活陷入无法战斗状态的角色所需的宇宙碎片数量降低30%,1.0,2星
分裂金币,"人间喜剧, 千面英雄",宇宙碎片,无,每进入下一区域，获得等同于当前持有的宇宙碎片5%的宇宙碎片。进入【财富】区域时，将宝箱替换为更好的宝箱,1.0,2星
空无烛剪,"人间喜剧, 千面英雄",损毁奇物,无,获得该奇物后将随机修复最多2个已损毁的1-3星奇物，使其效果的剩余次数恢复至初始状态,1.0,2星
时空棱镜,"人间喜剧, 千面英雄",星魂,无,进入战斗时，所有角色星魂同调等级提高1级,1.0,2星
有点蹊跷的代码,千面英雄,生命回复,特定事件,进入战斗时，我方目标攻击力提高20%，对4星我方目标效果额外提高原数值的100%。获得该奇物时，若同时携带全部错误代码，将令代码实现精确优雅的自我迭代,1.0,1星
没有注释的代码,千面英雄,造成伤害,特定事件,进入战斗时，我方目标防御力提高20%，对4星我方目标效果额外提高原数值的100%。获得该奇物时，若同时携带全部错误代码，将令代码实现精确优雅的自我迭代,1.0,1星
无限递归的代码,千面英雄,战技点,特定事件,进入战斗时，我方目标生命上限提高20%，对4星我方目标效果额外提高原数值的100%。获得该奇物时，若同时携带全部错误代码，将令代码实现精确优雅的自我迭代,1.0,1星
朋克洛德精神,"人间喜剧, 千面英雄",弱点,无,进入战斗时，有100%固定概率为敌方全体添加1个场上我方目标持有属性的弱点，持续10回合,1.0,1星
欢愉火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「欢愉」的祝福。并在战斗胜利后选择祝福时，提高「欢愉」的祝福出现的概率,1.0,1星
巡猎火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「巡猎」的祝福。并在战斗胜利后选择祝福时，提高「巡猎」的祝福出现的概率,1.0,1星
毁灭火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「毁灭」的祝福。并在战斗胜利后选择祝福时，提高「毁灭」的祝福出现的概率,1.0,1星
记忆火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「记忆」的祝福。并在战斗胜利后选择祝福时，提高「记忆」的祝福出现的概率,1.0,1星
虚无火漆,"人间喜剧, 千面英雄",祝福获取,一般事件,获得该奇物时，随机获得1个「虚无」的祝福。并在战斗胜利后选择祝福时，提高「虚无」的祝福出现的概率,1.0,1星
银河大乐透,"人间喜剧, 千面英雄",奇物获取 /  可损毁 /  可破坏物,无,击碎可破坏物后有小概率获得1件奇物，但也有小概率使该奇物损毁并使我方全体损失99%当前生命值,1.0,1星
万象无常骰,"人间喜剧, 千面英雄",祝福强化,无,获得该奇物后立即随机强化2个祝福,1.0,1星
跃迁复眼,"人间喜剧, 千面英雄",祝福强化,无,战斗胜利后选择祝福时，强化所有出现的品质为1星的祝福,1.0,1星
异木果实,"人间喜剧, 千面英雄",复活 /  可损毁 /  微妙的奇物,无,我方全体效果抵抗提高30%，生命上限降低20%。战斗胜利3次后该奇物升级为「腐化异木果实」,1.0,1星
测不准匣,"人间喜剧, 千面英雄",祝福获取,无,获得该奇物后立即获得1-2个随机祝福，展开2个方程后，该奇物升级为「猜不透匣」,1.0,1星
香涎干酪,"人间喜剧, 千面英雄",生命回复,无,战斗胜利后，我方全体回复等同于各自生命上限100%的生命值，效果触发3次后该奇物升级为「海绵王」,1.0,1星
永不停嘴的羊皮卷,"人间喜剧, 千面英雄",直接伤害,无,进入战斗时，敌方全体受到等同于各自生命上限30%的固定数值的伤害,1.0,1星
博士之袍,"人间喜剧, 千面英雄",回响充能 /  造成伤害 /  能量恢复,无,进入战斗时，若拥有已展开的3星方程，使所有角色激活终结技，并使造成的伤害提高25%,1.0,1星
俱乐部券,"人间喜剧, 千面英雄",宇宙碎片,无,战斗胜利后获得宇宙碎片的数量提高40%,1.0,1星
天外重声大碟,"人间喜剧, 千面英雄",伤害减免 /  效果减免,无,进入战斗时，所有我方目标可抵抗除持续伤害外的所有伤害，受到攻击后解除，并在3回合内不会陷入负面效果,1.0,1星
碎星芳饵,"人间喜剧, 千面英雄",速度 /  移速,无,场景中角色移动速度提高40%。角色速度提高10%,1.0,1星
虫网,"人间喜剧, 千面英雄",攻击力 /  生命值,特定事件,进入战斗时，使当前攻击力最高的我方目标陷入【寄生】状态。【寄生】状态下，我方目标的攻击力提高50%，但在回合开始时会消耗等同于当前生命值20%的生命值。当陷入无法战斗状态后，该状态将转移给随机其他我方目标,1.0,1星
天使型谢债发行机,"人间喜剧, 千面英雄",宇宙碎片 /  可损毁,特定事件,战斗胜利后，无法获得宇宙碎片。效果触发5次后该奇物损毁并使当前拥有的宇宙碎片数量翻倍,1.0,1星
换境桂冠,"人间喜剧, 千面英雄",复活 /  可损毁,无,若在与非最终区域中的敌人的战斗中失败，不会导致本次探索中断，而会视为本次战斗胜利并使所有角色的当前生命值回复至各自的生命上限。效果触发1次后该奇物损毁,1.0,1星
万识囊,"人间喜剧, 千面英雄",可破坏物 /  宇宙碎片,无,可破坏物会更频繁地出现，且被击碎后获得的收益翻倍,1.0,1星
信标着色剂,"人间喜剧, 千面英雄",祝福强化,无,战斗胜利后，选择祝福时，随机强化其中1个祝福,1.0,1星
机械咕咕钟,"人间喜剧, 千面英雄",战技点,"开局获取, 特定事件",进入战斗时，消耗2个战技点,1.0,负面奇物
卜筮咕咕钟,"人间喜剧, 千面英雄",祝福获取,"开局获取, 特定事件",战斗胜利后，选择祝福时，可选择的祝福选项会减少1个,1.0,负面奇物
黑森林咕咕钟,"人间喜剧, 千面英雄",受击概率,"开局获取, 特定事件",进入战斗时，随机使1名我方目标被敌方目标攻击的概率大幅提高，持续5回合,1.0,负面奇物
永动咕咕钟,"人间喜剧, 千面英雄",宇宙碎片,"开局获取, 特定事件",每进入下一区域，损失4%当前持有的宇宙碎片,1.0,负面奇物
公司咕咕钟,"人间喜剧, 千面英雄",宇宙碎片,"开局获取, 特定事件",覆写祝福、覆写方程所需的宇宙碎片数量提高25%,1.0,负面奇物
