名称,命途,模式,TAG,效果,版本
星间构筑•安全载荷,存护,人间喜剧,攻击力,强化前：持有护盾的角色提高等同于自身护盾量40%的攻击力，但不超过基础攻击力的120%。强化后：持有护盾的角色提高等同于自身护盾量60%的攻击力，但不超过基础攻击力的160%。,1.0
星间构筑•回馈庇护,存护,人间喜剧,护盾,强化前：回合结束时，角色有80%固定概率获得能够抵消等同于自身生命上限12%伤害的护盾，持续1回合。强化后：回合结束时，角色获得能够抵消等同于自身生命上限15%伤害的护盾，持续1回合。,1.0
星间构筑•四棱锥体,存护,人间喜剧,护盾量提高,强化前：角色提供的护盾量提高30%。强化后：获得护盾时，角色获得的护盾量提高35%。,1.0
星间构筑•过共晶体,存护,人间喜剧,增伤,强化前：角色为我方目标提供护盾时，使双方造成的伤害提高20%，最多叠加5次，持续1回合。强化后：角色为我方目标提供护盾时，使双方造成的伤害提高30%，最多叠加5次，持续1回合。,2.3
星间构筑•倒易立方,存护,人间喜剧,命途机制,强化前：角色造成的【反震由特定「存护」命途祝福造成的附加伤害。】伤害，暴击率提高20%，暴击伤害提高50%。强化后：角色造成的【悬浮框反震由特定「存护」命途祝福造成的附加伤害。】伤害，暴击率提高30%，暴击伤害提高75%。,2.5
极端体验：头晕目眩,记忆,人间喜剧,命途机制易伤,"强化前：陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态的敌方目标受到的伤害提高36%。该效果在【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态被解除后仍会持续1回合。强化后：陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态的敌方目标受到的伤害提高54%。该效果在【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态被解除后仍会持续1回合。",1.0
极端体验：麻木不仁,记忆,人间喜剧,命途机制负面状态,"强化前：敌方目标的【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态被解除后，有50%的基础概率陷入冻结状态，持续1回合。强化后：敌方目标的【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态被解除后，有75%的基础概率陷入冻结状态，持续1回合。",1.0
极端体验：瞻前顾后,记忆,人间喜剧,伤害减免,强化前：冻结状态解除时，敌方目标造成的伤害降低20%，持续1回合。强化后：冻结状态解除时，敌方目标造成的伤害降低24%，持续2回合。,2.3
极端体验：洞若观火,记忆,人间喜剧,效果命中增伤,强化前：角色对敌方目标施加冻结状态时，效果命中提高30%，使敌方目标陷入冻结状态后，造成的伤害提高40%，持续2回合。强化后：角色对敌方目标施加冻结状态时，效果命中提高45%，使敌方目标陷入冻结状态后，造成的伤害提高60%，持续2回合。,2.3
极端体验：不寒而栗,记忆,人间喜剧,弱点,强化前：角色施放终结技后，有70%的基础概率使随机敌方单体获得冰属性弱点，持续2回合。强化后：角色施放终结技后，有70%的基础概率使不具有冰属性弱点的随机敌方单体获得冰属性弱点，持续2回合。,1.0
极端体验：特立独行,记忆,人间喜剧,负面状态减速,强化前：进入战斗时，每个敌方单体均有150%基础概率陷入冻结状态，持续1回合。强化后：进入战斗时，每个敌方单体均有150%基础概率陷入冻结状态，并使其速度降低30%，持续1回合。,1.0
极端体验：愤世嫉俗,记忆,人间喜剧,命途机制,"强化前：我方目标施放攻击后，有40%的基础概率使攻击目标陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，该效果对每个敌方目标单场战斗最多触发1次。强化后：我方目标施放攻击后，有60%的基础概率使攻击目标陷入【悬浮框离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，该效果对每个敌方目标单场战斗最多触发1次。",2.5
领悟：精炼晨曦,记忆,千面英雄,,强化前：敌方目标每次受到不同我方目标攻击时，受到的伤害提高4%，最多叠加6层，持续至回合结束时。强化后：敌方目标每次受到不同我方目标攻击时，受到的伤害提高6%，最多叠加6层，持续至回合结束时。,3.1
领悟：编织云朵,记忆,千面英雄,,强化前：我方目标受到攻击时，获得2层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。强化后：我方目标受到攻击时，获得3层【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。,3.1
领悟：溶解夕阳,记忆,千面英雄,,强化前：敌方目标每次受到不同我方目标攻击时，造成的伤害降低3%，最多叠加6层，持续至回合结束时。强化后：敌方目标每次受到不同我方目标攻击时，造成的伤害降低4%，最多叠加6层，持续至回合结束时。,3.1
领悟：缝合山峦,记忆,千面英雄,,强化前：我方目标消灭敌方目标后，为我方全体提供4层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。强化后：我方目标消灭敌方目标后，为我方全体提供6层【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。,3.1
领悟：装订波浪,记忆,千面英雄,,强化前：我方目标进入战斗/忆灵被召唤后，获得6层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。强化后：我方目标进入战斗/忆灵被召唤后，获得9层【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。,3.1
领悟：浅海悼词,记忆,千面英雄,,强化前：每层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】额外使造成的伤害提高0.2%。强化后：每层【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】额外使造成的伤害提高0.3%。,3.1
领悟：深渊礼赞,记忆,千面英雄,,强化前：角色的【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】上限提高4层。强化后：角色的【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】上限提高6层。,3.1
开端与终结,虚无,人间喜剧,命途机制,"强化前：陷入【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果下的敌方目标被消灭时，使1名随机其他敌方目标陷入等同于被消灭目标【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】层数的【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。强化后：陷入【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果下的敌方目标被消灭时，使2名随机其他敌方目标陷入等同于被消灭目标【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】层数的【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。",1.0
自欺咖啡馆,虚无,人间喜剧,命途机制,"强化前：敌方目标陷入【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果时，额外陷入1层【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。强化后：敌方目标陷入【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果时，陷入层数翻倍。",1.0
致死的疾病,虚无,人间喜剧,伤害减免,强化前：敌方目标受到持续伤害后，造成的伤害降低5%，最多叠加4次，持续至回合结束时。强化后：敌方目标受到持续伤害后，造成的伤害降低7%，最多叠加4次，持续至回合结束时。,2.3
火堆外的夜,虚无,人间喜剧,弱点击破效率,强化前：角色的弱点击破效率提高30%。强化后：角色的弱点击破效率提高45%。,1.0
他人即地狱,虚无,人间喜剧,造成击破效果,强化前：角色击破敌方目标弱点时，对相邻目标造成一次等同于弱点击破伤害140%的击破伤害。强化后：角色击破敌方目标弱点时，对其他敌方目标造成一次等同于弱点击破伤害210%的击破伤害。,2.3
无根据颂歌,虚无,人间喜剧,持续伤害,强化前：敌方目标受到攻击后，若处于持续伤害状态，随机触发1个持续伤害，造成等同于原持续伤害100%的伤害。强化后：敌方目标受到攻击后，若处于持续伤害状态，随机触发1个持续伤害，造成等同于原持续伤害150%的伤害。,1.0
林中的通径,虚无,人间喜剧,命途机制,"强化前：敌方目标进入战斗时，获得30层【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】。强化后：敌方目标进入战斗时，获得45层【悬浮框怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】。",2.5
在绝望之巅,虚无,千面英雄,,强化前：【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】的清除阈值提高50%。强化后：【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】的清除阈值提高75%。,3.1
灾异的书写,虚无,千面英雄,,强化前：【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得充能时的充能效率提高20%。强化后：【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得充能时的充能效率提高30%。,3.1
最后的言者,虚无,千面英雄,,强化前：敌方目标每受到1次持续伤害，我方全体回复等同于各自1%生命上限的生命值。强化后：敌方目标每受到1次持续伤害，我方全体回复等同于各自1.5%生命上限的生命值。,3.1
启蒙与灭尽,虚无,千面英雄,,强化前：敌方目标回合结束时，【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得等同于我方角色攻击力之和40%的充能值。强化后：敌方目标回合结束时，【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得等同于我方角色攻击力之和60%的充能值。,3.1
模棱两可,虚无,千面英雄,,强化前：敌方目标每陷入1个持续伤害状态，造成的伤害降低3%，最多叠加4层。强化后：敌方目标每陷入1个持续伤害状态，造成的伤害降低4.5%，最多叠加4层。,3.1
眼泪与圣徒,虚无,千面英雄,,强化前：敌方目标每次受到【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】伤害后，造成的伤害降低0.5%，最多降低16%。强化后：敌方目标每次受到【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】伤害后，造成的伤害降低0.5%，最多降低24%。,3.1
失眠之礼赞,虚无,千面英雄,,强化前：【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】伤害提高等同于原伤害倍率的30%。强化后：【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】伤害提高等同于原伤害倍率的45%。,3.1
灭罪累生善,丰饶,人间喜剧,命途机制生命回复,"强化前：【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】破裂时，会为角色回复等同于充能值20%的生命值，不超过角色生命上限的18%。强化后：【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】破裂时，会为角色回复等同于充能值20%的生命值，不超过角色生命上限的24%，不低于角色生命上限的12%。",1.0
天人不动众,丰饶,人间喜剧,命途机制,"强化前：角色当前生命值等于自身生命上限时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】的充能效率提高80%。强化后：角色当前生命值等于自身生命上限时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】的充能效率提高120%。",1.0
宝光烛日月,丰饶,人间喜剧,攻击力,强化前：角色为我方目标提供治疗时，使双方攻击力提高50%，持续1回合。强化后：角色为我方目标提供治疗时，使我方全体攻击力提高50%，持续1回合。,1.0
厌离邪秽苦,丰饶,人间喜剧,附加伤害,强化前：角色施放攻击后，对受到攻击的敌方目标造成等同于当前生命值36%的附加伤害。强化后：角色施放攻击后，对受到攻击的敌方目标造成等同于自身生命上限42%的附加伤害。,1.0
明澈琉璃身,丰饶,人间喜剧,伤害减免效果抵抗提高,强化前：当角色生命值回复至自身生命上限时，受到的伤害降低25%，效果抵抗提高15%，持续至受到攻击后。强化后：当角色生命值回复至自身生命上限时，受到的伤害降低30%，效果抵抗提高30%，持续至受到攻击后。,1.0
大愿般若船,丰饶,人间喜剧,生命回复,强化前：角色接受我方目标提供的治疗后，会额外回复等同于回复量30%的生命值。强化后：角色接受我方目标提供的治疗后，会额外回复等同于回复量45%的生命值。,1.0
燃臂供万生,丰饶,人间喜剧,命途机制,"强化前：角色造成的【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】伤害，暴击率提高20%，暴击伤害提高50%。强化后：角色造成的【悬浮框珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】伤害，暴击率提高30%，暴击伤害提高75%。",2.5
天舟缴夙敌,巡猎,人间喜剧,命途机制暴击伤害,"强化前：当角色的暴击率大于100%时，若具有【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果，每溢出1%暴击率提高3%暴击伤害，暴击伤害最多提高150%。强化后：当角色的暴击率大于100%时，若具有【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果，每溢出1%暴击率提高3%暴击伤害，每有1层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】额外提高0.2%，暴击伤害最多提高200%。",1.0
序师执迟彝,巡猎,人间喜剧,命途机制,"强化前：当任意我方目标施放终结技时，可以继承【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果，并使【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】层数提高1层。强化后：当任意我方目标施放追加攻击或终结技时，可以继承【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果，并使【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】层数提高1层。",1.0
流岚追孽物,巡猎,人间喜剧,攻击力战技点,强化前：相同角色连续行动时，攻击力提高40%，该效果最多叠加2层。强化后：相同角色连续行动时，攻击力提高40%，该效果最多叠加2层，同时有50%的固定概率恢复1点战技点，该效果无法重复触发。,1.0
参连讨妖星,巡猎,人间喜剧,伤害减免,强化前：角色施放攻击后，受到伤害降低12%，该效果最多叠加2层，持续至受到攻击后。强化后：角色施放攻击后，受到伤害降低12%，该效果最多叠加3层，持续至受到攻击后。,2.3
云镝逐步离,巡猎,人间喜剧,行动提前,强化前：我方全体每经过6个回合后，当前角色行动提前100%，该效果无法被相同角色连续触发。强化后：我方全体每经过6个回合后，当前角色行动提前100%，该效果无法被相同角色连续触发。进入战斗时，视作已经过5个回合。,1.0
飞虹诛凿齿,巡猎,人间喜剧,生命回复,强化前：角色消灭敌方目标后，我方全体回复等同于自身生命上限30%的生命值，并使攻击力提高25%，持续2回合。强化后：角色消灭敌方目标后，我方全体回复等同于自身生命上限45%的生命值，并使攻击力提高45%，持续2回合。,1.0
金戈平寿瘟,巡猎,人间喜剧,速度,"强化前：角色回合开始时，若持有大于等于4层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】，速度提高24%，持续2回合。强化后：角色回合开始时，若持有大于等于4层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】，速度提高36%，持续2回合。",2.5
激箭流星远,巡猎,千面英雄,,强化前：我方目标速度提高5%，全队每经过12个回合后，当前我方目标行动提前100%。强化后：我方目标速度提高10%，全队每经过10个回合后，当前我方目标行动提前100%。,3.1
楛矢何参差,巡猎,千面英雄,,"强化前：每层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果额外提高4%攻击力，当任意我方目标施放终结技时，可以继承【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。强化后：每层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果额外提高6%攻击力，当任意我方目标施放终结技时，可以继承【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。",3.1
腾骑纷往来,巡猎,千面英雄,,"强化前：【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】上限提高2层，受攻击后失去的【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】不超过4层。强化后：【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】上限提高4层，受攻击后失去的【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】不超过4层。",3.1
可使寸寸折,巡猎,千面英雄,,"强化前：我方目标持有大于等于4层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】时，我方全体目标受到伤害降低16%。强化后：我方目标持有大于等于4层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】时，我方全体目标受到伤害降低24%。",3.1
炯然耀电光,巡猎,千面英雄,,"强化前：我方目标回合开始时，若持有大于等于4层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】，速度提高18%，持续2回合。强化后：我方目标回合开始时，若持有大于等于4层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】，速度提高27%，持续2回合。",3.1
宿昔秉良弓,巡猎,千面英雄,,强化前：相同我方目标连续行动时，有40%的固定概率回复1点战技点。强化后：相同我方目标连续行动时，有60%的固定概率回复1点战技点。,3.1
连星入剑端,巡猎,千面英雄,,"强化前：我方目标回合开始时，获得1层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。强化后：我方目标回合开始时，获得1层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。相同我方目标连续行动时，获得1层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。",3.1
灾难性共振,毁灭,人间喜剧,命途机制消耗生命值附加伤害,"强化前：持有【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】的角色，施放普攻/战技/终结技造成伤害时，敌方目标受到的伤害提高10%，【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】层数大于10层时，额外使敌方目标受到的击破伤害提高30%。强化后：持有【悬浮框战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】的角色，施放普攻/战技/终结技造成伤害时，敌方目标受到的伤害提高15%，【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】层数大于10层时，额外使敌方目标受到的击破伤害提高45%。",2.3
预兆性景深,毁灭,人间喜剧,命途机制伤害减免,"强化前：持有【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】的角色，受到的伤害降低16%。生命值百分比小于50%时，额外降低8%。强化后：持有【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】的角色，受到的伤害降低20%。生命值百分比小于50%时，额外降低12%。",1.0
灭绝性潮汐,毁灭,人间喜剧,造成击破效果,"强化前：角色累计损失或治疗自身40%生命值后，攻击处于弱点击破状态下的敌方目标后，会将本次攻击的削韧值转化为1次70%的超击破伤害击破特攻、本次攻击削韧值、角色等级越高，造成的超击破伤害越高。
超击破伤害无法暴击，不受伤害提高类效果所影响。
超击破伤害也属于击破伤害。。强化后：角色累计损失或治疗自身40%生命值后，攻击处于弱点击破状态下的敌方目标后，会将本次攻击的削韧值转化为1次105%的悬浮框超击破伤害击破特攻、本次攻击削韧值、角色等级越高，造成的超击破伤害越高。
超击破伤害无法暴击，不受伤害提高类效果所影响。
超击破伤害也属于击破伤害。。",2.3
衰亡性爆缩,毁灭,人间喜剧,抗性穿透增伤,强化前：角色累计损失或治疗自身40%生命值后，全属性抗性穿透提高10%，造成击破伤害时额外提高20%。强化后：角色累计损失或治疗自身40%生命值后，全属性抗性穿透提高15%，造成击破伤害时额外提高30%。,2.3
戒律性闪变,毁灭,人间喜剧,生命回复,强化前：角色受到攻击或消耗生命值后，若当前生命值百分比小于35%，回复等同于生命上限12%的生命值。强化后：角色受到攻击或消耗生命值后，若当前生命值百分比小于35%，则回复等同于生命上限12%的生命值。当前生命值百分比越低回复量越高，最多不超过20%。,1.0
扰乱性脉冲,毁灭,人间喜剧,能量回复战技点,强化前：角色生命值百分比降低至50%时，固定恢复等同于自身能量上限50%的能量，该效果在4回合后可以再次触发。强化后：角色生命值百分比降低至60%时，固定恢复等同于自身能量上限50%的能量与1个战技点，该效果在4回合后可以再次触发。,2.3
回归性暴涨,毁灭,人间喜剧,命途机制,"强化前：角色进入战斗时，获得12层【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】。强化后：角色进入战斗时，获得18层【悬浮框战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】。",2.5
灾难性变星,毁灭,千面英雄,,强化前：【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】造成伤害的暴击率提高20%，暴击伤害提高50%。强化后：【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】造成伤害的暴击率提高30%，暴击伤害提高75%。,3.1
受迫性跃迁,毁灭,千面英雄,,强化前：我方目标受到攻击或消耗生命值后，若当前生命值百分比小于35%，回复等同于生命上限12%的生命值，单次行动内最多通过该方式回复等同于生命上限100%的生命值。强化后：我方目标受到攻击或消耗生命值后，若当前生命值百分比小于35%，回复等同于生命上限20%的生命值，单次行动内最多通过该方式回复等同于生命上限100%的生命值。,3.1
致密型闪焰,毁灭,千面英雄,,强化前：我方目标受到攻击时，【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】伤害倍率提高原倍率的20%，最多叠加2次，持续2回合。强化后：我方目标受到攻击时，【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】伤害倍率提高原倍率的30%，最多叠加2次，持续2回合。,3.1
放射性衰变,毁灭,千面英雄,,强化前：我方目标生命百分比低于50%时，受到的伤害降低10%，回复量提高20%。强化后：我方目标生命百分比低于50%时，受到的伤害降低15%，回复量提高30%。,3.1
